ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ
41,OREGON,OR,Deschutes,41017,"Deschutes County, Oregon",3017.597612,180640,0,86875,125,72471,925,19503,1828,4792,675,34187,1048,8452,877,34502,160,37537,0,22836,1353,5193,565,22544,130,1904,473,4760,565,5683,584,1758,353,2520,329,1310,259,10.8,1,5.2,0.7,34187,1048,6.5,0.7,19.1,0.1,20.8,0,12.7,0.8,7.2,0.8,12.5,0.1,1.1,0.3,5.5,0.7,6.5,0.7,2.4,0.5,3.5,0.5,0.7,0.1
41,OREGON,OR,Sherman,41055,"Sherman County, Oregon",823.614113,1605,106,899,47,736,65,209,56,29,17,33821,4807,107,27,412,54,263,59,354,53,45,17,131,137,4,45,14,9,203,34,1,12,32,15,12,7,13.1,3.2,3.9,2.2,33821,4807,8.6,2.2,25.7,3.2,16.4,3.5,22.1,3.2,6.1,2.3,8.2,8.5,0.3,2.9,1.6,1.1,22.6,3.8,0.1,1.7,4.3,1.9,0.7,0.4
41,OREGON,OR,Clackamas,41005,"Clackamas County, Oregon",1870.6775287,405788,0,165422,205,155456,776,34195,2141,9950,711,39619,571,19201,844,69081,109,88881,0,47447,1420,10725,755,71782,234,6971,755,19204,852,9976,486,3932,392,8062,547,3088,372,8.5,0.5,4.7,0.3,39619,571,6.7,0.3,17,0.1,21.9,0,11.7,0.4,6.9,0.5,17.7,0.1,1.8,0.2,11.6,0.5,6,0.3,2.5,0.3,5.2,0.4,0.8,0.1
41,OREGON,OR,Columbia,41009,"Columbia County, Oregon",658.1139996,50851,0,21116,85,19296,329,6103,794,1640,326,29317,1344,3464,431,9097,126,11076,26,8725,629,1559,252,5694,33,366,193,796,217,3074,312,309,121,1251,262,405,109,12.1,1.6,7,1.4,29317,1344,9.6,1.2,17.9,0.2,21.8,0.1,17.2,1.2,8.1,1.3,11.2,0.1,0.8,0.4,3.8,1,14.6,1.5,1.6,0.6,6.5,1.4,0.8,0.2
41,OREGON,OR,Wallowa,41063,"Wallowa County, Oregon",3145.895532,6924,0,4197,54,3165,137,1012,197,142,48,28960,2060,407,84,1926,41,1278,45,1392,152,238,67,475,14,52,67,155,68,640,105,91,44,213,57,135,37,14.8,2.9,4.5,1.5,28960,2060,7.5,1.5,27.8,0.6,18.5,0.6,20.4,2.2,7.5,2.1,6.9,0.2,0.8,1,3.7,1.6,15.2,2.5,2.9,1.4,6.7,1.7,1.9,0.5
41,OREGON,OR,Washington,41067,"Washington County, Oregon",724.2681923,581821,0,226355,246,216507,1013,55505,2589,15878,995,37657,409,33294,1272,73044,70,137409,0,57740,1643,16916,867,195824,331,22303,1416,38000,1213,5466,414,7571,618,12686,712,6985,518,9.6,0.4,5,0.3,37657,409,8.4,0.3,12.6,0.1,23.6,0,10,0.3,7.8,0.4,33.7,0.1,4.1,0.3,16.8,0.5,2.4,0.2,3.5,0.3,5.9,0.3,1.2,0.1
41,OREGON,OR,Benton,41003,"Benton County, Oregon",675.1814126,89780,0,38037,202,35056,451,16374,1011,2834,382,32297,1123,2479,328,13573,111,14824,32,9842,653,1817,340,17433,102,1398,338,4901,468,2363,279,704,188,2489,311,5702,484,19.4,1.2,6.2,0.8,32297,1123,4.6,0.6,15.1,0.1,16.5,0,11,0.7,5.2,1,19.4,0.1,1.6,0.4,12.9,1.2,6.2,0.7,2,0.5,7.1,0.9,6.4,0.5
41,OREGON,OR,Clatsop,41007,"Clatsop County, Oregon",828.1426373,38562,0,22303,89,15910,387,3977,577,1113,208,28750,1131,2357,316,8015,92,7511,78,7309,557,1098,208,5514,25,690,255,1671,267,1359,207,365,109,1228,208,802,191,10.5,1.5,6,1.1,28750,1131,8.4,1.1,20.8,0.2,19.5,0.2,19.4,1.5,6.9,1.3,14.3,0.1,1.9,0.7,7.5,1.2,6.1,0.9,2.3,0.7,7.7,1.3,2.1,0.5
41,OREGON,OR,Gilliam,41021,"Gilliam County, Oregon",1204.7208438,1907,144,1120,50,848,60,203,73,75,42,25649,2592,140,53,485,60,394,68,400,67,57,33,230,177,18,52,30,22,169,47,11,17,52,25,22,27,10.7,3.8,9.3,4.9,25649,2592,9.7,3.5,25.4,3.2,20.7,3.2,21,3.3,6.7,3.9,12.1,9.2,1,2.9,2.7,2,15.1,4.2,1.3,2,6.1,2.9,1.2,1.4
41,OREGON,OR,Wheeler,41069,"Wheeler County, Oregon",1716.0206942,1426,124,988,41,661,53,282,65,41,22,21375,2019,87,35,488,48,221,58,352,62,20,14,211,148,0,48,20,18,199,47,4,12,31,20,17,10,20,4.4,7.7,3.6,21375,2019,7.9,3,34.2,3.8,15.5,3.8,24.7,4.5,3,2.1,14.8,10.3,0,3.5,2,1.9,20.1,4.7,0.6,1.9,4.7,3,1.2,0.7
41,OREGON,OR,Grant,41023,"Grant County, Oregon",4527.7895442,7183,0,4397,38,3294,161,1030,214,243,50,26029,1632,617,139,2034,28,1308,13,1657,168,180,59,605,3,26,76,83,40,961,136,81,40,155,75,189,74,14.6,3,7.5,1.6,26029,1632,11.2,2.5,28.3,0.4,18.2,0.2,23.5,2.4,5.5,1.8,8.4,0,0.4,1.1,1.9,0.9,21.9,3.1,2.5,1.2,4.7,2.3,2.6,1
41,OREGON,OR,Curry,41015,"Curry County, Oregon",1628.3807097,22507,0,12906,59,10440,356,3230,462,652,245,28365,1961,1987,377,7439,130,3308,111,4815,483,541,189,3040,22,99,112,618,198,2381,352,92,65,749,205,278,106,14.5,2.1,8,2.9,28365,1961,10.9,2.1,33.1,0.6,14.7,0.5,21.6,2.2,5.2,1.8,13.5,0.1,0.5,0.5,4.8,1.5,18.4,2.7,0.9,0.6,7.2,2,1.2,0.5
41,OREGON,OR,Polk,41053,"Polk County, Oregon",740.9233013,81427,0,31762,95,29692,416,11214,1124,2906,428,27492,987,4993,470,13995,80,18830,0,12035,737,2290,375,17551,27,2286,504,2674,359,2431,295,624,168,1465,272,1704,239,14.1,1.4,7.5,1.1,27492,987,9.6,0.9,17.2,0.1,23.1,0,14.9,0.9,7.7,1.3,21.6,0,3,0.7,8.4,1.1,7.7,0.9,2.1,0.6,4.9,0.9,2.1,0.3
41,OREGON,OR,Lincoln,41041,"Lincoln County, Oregon",980.3988625,47881,0,31328,111,21110,515,7874,793,1221,198,27072,1000,3468,393,12952,142,8199,96,10344,444,1277,213,8318,51,296,163,1669,246,3981,338,459,133,1484,234,581,168,16.7,1.7,6,1,27072,1000,9.4,1.1,27.1,0.3,17.1,0.2,21.8,0.9,6,1,17.4,0.1,0.6,0.4,5.3,0.8,12.7,1.1,2.2,0.6,7,1.1,1.2,0.4
41,OREGON,OR,Hood River,41027,"Hood River County, Oregon",522.0884491,23131,0,9801,219,8539,341,2280,596,503,150,32581,3044,2946,306,3460,108,5706,49,2231,317,441,165,8367,22,2110,373,512,176,1137,216,367,138,475,166,1002,574,10,2.6,4.2,1.2,32581,3044,18.9,2,15,0.5,24.7,0.2,9.7,1.4,5.2,1.9,36.2,0.1,9.7,1.7,5.2,1.8,11.6,2.2,4.3,1.6,5.6,1.9,4.3,2.5
41,OREGON,OR,Multnomah,41051,"Multnomah County, Oregon",431.1055765,798647,0,342746,434,321968,1216,118644,3664,25413,1363,36868,454,50422,1748,100763,88,154507,0,101426,2599,24144,1145,239842,763,35683,1749,81610,1553,6324,448,11692,765,40966,1328,18522,821,15.1,0.5,5.6,0.3,36868,454,8.7,0.3,12.6,0.1,19.3,0,12.8,0.3,7.5,0.4,30,0.1,4.7,0.2,23.8,0.5,1.8,0.1,3.6,0.2,12.7,0.4,2.3,0.1
41,OREGON,OR,Crook,41013,"Crook County, Oregon",2978.894061,22337,0,10674,39,9339,231,3241,628,821,258,25128,1796,2070,315,5490,84,4438,108,4737,436,677,181,2618,23,132,166,331,112,1447,271,374,168,382,110,130,58,14.6,2.8,8.5,2.7,25128,1796,12.4,1.9,24.6,0.4,19.9,0.5,21.3,2,7.2,1.9,11.7,0.1,0.6,0.8,3.1,1.1,13.6,2.5,4,1.8,4.1,1.2,0.6,0.3
